ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces
6/15/20,94300,Condo,60077,722,3,1,0,No,1,0,1
2/14/20,338250,SFH,60076,1611,6,1,1,No,3,0,2
9/2/20,312625,SFH,60076,2100,7,2,0,Yes,3,0,2
6/29/18,167994.9375,Condo,60076,1100,5,2,0,No,2,0,0
9/18/19,393984.375,SFH,60025,2319,8,2,0,No,3,0,2
5/14/20,349525,SFH,60076,1476,7,2,0,Yes,3,0,0
8/7/20,430500,SFH,60091,3400,8,2,1,No,4,0,2
6/8/18,300452.4844,SFH,60076,1645,8,2,0,No,3,0,0
7/8/20,1445250,SFH,60091,4598,15,5,1,Yes,5,1,3
6/7/18,374219.4922,SFH,60077,1300,8,2,0,No,4,0,2
10/23/20,743125,SFH,60025,2500,9,4,0,Yes,5,0,2.5
6/29/17,248357.9004,SFH,60077,900,6,2,0,Yes,2,0,2
4/17/20,360800,Townhouse,60025,1600,7,2,1,No,3,0,2
6/11/18,335989.875,SFH,60077,1472,9,2,1,Yes,4,0,0
4/19/18,256299.9687,SFH,60076,1072,6,1,1,No,3,0,0
8/15/19,577738.6875,SFH,60062,2888,12,2,2,No,4,0,2.5
7/22/20,212175,Condo,60077,1550,5,2,0,No,2,0,2
9/12/19,1320669.245,SFH,60062,4050,11,5,1,Yes,5,1,3
3/1/19,178606.25,SFH,60002,2160,9,2,1,No,4,0,2
10/16/20,459019.6,SFH,60025,3149,10,2,1,No,4,0,2
5/31/19,698665.625,SFH,60053,3062,12,3,1,Yes,4,1,2
5/21/20,657677.925,Townhouse,60062,2392,8,2,2,No,3,0,2
5/19/17,325072.8963,SFH,60076,1323,7,2,0,Yes,3,0,0
4/29/20,604750,SFH,60026,2030,9,3,1,Yes,3,1,2
12/23/20,512500,SFH,60202,1667,8,1,1,Yes,3,0,0
6/21/19,639830.625,SFH,60062,2493,9,2,1,No,4,0,2.5
8/6/18,382296.1719,SFH,60077,1222,8,2,0,Yes,3,1,0
6/11/18,716132.2656,SFH,60062,2800,9,3,1,Yes,2,1,2
7/16/20,381812.5,SFH,60025,1749,8,2,1,Yes,4,0,2
8/26/20,123000,Duplex,60201,1300,5,2,0,No,2,0,0
6/12/19,418148.75,SFH,60062,1265,7,2,0,Yes,3,0,2.5
5/23/19,640881.25,SFH,60062,2669,10,3,1,Yes,4,1,2
10/17/19,2264096.875,SFH,60025,8377,12,6,2,Yes,5,1,3
7/17/19,346706.25,Condo,60062,1820,7,2,0,No,2,0,1
8/31/20,310575,SFH,60053,1200,7,2,0,Yes,3,0,1
8/24/20,653950,SFH,60203,2705,8,2,1,No,3,0,2
6/14/19,1160940.625,SFH,60091,3200,10,3,1,No,4,0,1
11/8/18,322959.4984,SFH,60076,1400,10,3,0,Yes,3,0,0
9/19/18,328451.6406,SFH,60076,1663,9,1,1,No,4,0,2.5
5/15/19,478034.375,SFH,60053,2427,9,2,0,No,3,0,1.5
6/29/19,390832.5,Condo,60201,1400,6,2,0,No,2,0,1
2/14/19,246896.875,Condo,60062,1630,5,2,0,No,2,0,2
10/26/20,818462.5,SFH,60053,3463,12,4,1,Yes,4,1,2.5
1/15/19,1076890.625,SFH,60202,4300,11,2,1,No,6,0,2
8/24/18,726901.1719,SFH,60062,2900,10,2,1,No,4,0,2
7/30/18,195994.0937,Condo,60076,1465,5,2,0,No,2,0,2
10/7/20,193725,Condo,60202,950,5,1,0,No,2,0,0
4/15/20,176812.5,Condo,60053,1200,5,2,0,No,2,0,1
8/11/20,705200,SFH,60025,3028,9,3,1,No,3,0,2
4/9/20,369000,SFH,60053,1600,8,2,0,No,3,0,2
10/28/19,174929.0625,Condo,60076,1300,5,2,0,No,2,0,1
2/28/20,416150,SFH,60053,2538,9,2,1,No,4,0,2
6/27/19,201720,Condo,60077,1143,5,1,0,No,1,0,1
12/30/20,307500,SFH,60076,2764,12,4,1,Yes,6,0,0
10/30/19,278415.625,Condo,60077,1500,5,2,0,No,2,0,2
7/19/19,306782.5,SFH,60053,1110,7,2,0,Yes,3,0,2
5/21/19,520059.375,SFH,60025,3200,8,3,1,No,4,0,2
11/6/20,584250,SFH,60025,2025,8,2,1,No,4,0,1
9/25/20,753375,SFH,60062,3239,12,5,0,Yes,4,0,3
4/18/19,459963.625,SFH,60203,2515,9,3,0,Yes,4,0,2
8/20/18,481370.1094,SFH,60076,1350,8,2,0,Yes,3,1,2.1
5/5/17,275953.2227,SFH,60076,1039,8,1,0,No,3,0,2
6/8/20,1255625,SFH,60091,3598,13,5,1,Yes,5,1,2
7/3/20,358750,SFH,60002,2496,7,2,0,No,3,0,2
9/14/20,312625,SFH,60053,1400,6,2,0,No,3,0,0
3/27/20,435625,SFH,60062,2500,9,2,1,No,4,0,2.5
8/26/20,287000,SFH,60053,1750,6,2,0,Yes,3,0,2
5/1/20,427937.5,Townhouse,60201,1500,6,2,0,No,3,0,0
7/1/19,777462.5,SFH,60202,3550,13,4,0,Yes,4,1,2
3/31/20,553500,SFH,60025,2451,9,2,1,No,4,0,2
8/7/20,214225,SFH,60201,2886,8,1,1,No,4,0,4
8/14/20,994250,SFH,60026,4632,14,3,1,Yes,4,1,2
7/23/18,312298.2812,SFH,60077,1570,8,2,0,No,4,0,2
5/10/19,286295.3125,SFH,60077,1239,8,1,0,No,3,0,2
10/24/19,488540.625,Condo,60201,1761,6,3,1,No,3,0,2
1/15/19,478034.375,SFH,60076,2124,8,2,1,Yes,4,0,1
11/2/20,189625,SFH,60002,2802,7,2,0,Yes,2,1,2
9/29/20,114902.5,SFH,60002,540,3,1,0,No,1,0,1.5
11/18/19,262656.25,SFH,60077,1000,10,2,0,Yes,3,2,0
5/5/17,513272.9941,SFH,60062,2789,11,2,1,No,5,1,2
6/18/19,283668.75,SFH,60053,1029,7,2,0,Yes,3,0,2
4/23/19,179656.875,Condo,60025,1050,5,2,0,No,2,0,0
11/2/20,188600,Condo,60201,1200,5,1,0,No,2,0,0
10/18/19,177555.625,Condo,60025,1150,5,2,0,No,2,0,0
11/3/20,422812.5,SFH,60025,2500,11,2,0,No,4,0,1.5
8/8/17,424967.9629,SFH,60062,1472,7,2,0,Yes,3,0,2
4/18/20,1086500,SFH,60025,3318,9,2,1,No,5,0,3
11/13/20,1025000,SFH,60062,4633,13,4,1,Yes,4,1,3
8/1/17,562944.5742,SFH,60062,2029,8,2,1,No,4,0,2
5/15/20,230625,SFH,60203,1200,7,2,0,Yes,3,0,2
8/28/20,1204375,SFH,60026,4424,17,5,0,Yes,5,1,3
11/19/20,401800,SFH,60077,2020,8,2,0,No,3,0,1
6/22/20,271625,SFH,60025,1888,10,1,1,No,3,0,2
9/4/20,379250,SFH,60076,2150,8,2,0,No,3,0,2
7/27/20,820000,SFH,60062,3068,8,3,1,No,3,0,2
11/1/19,461224.375,SFH,60025,2343,9,2,1,No,3,0,2
6/16/20,164000,SFH,60201,2430,8,2,0,No,3,0,0
5/21/18,457678.5156,SFH,60062,1600,8,1,1,Yes,3,0,1.5
11/24/20,594397.5,SFH,60053,3748,13,4,1,Yes,4,2,2
3/16/17,1026545.988,SFH,60062,3410,11,3,1,Yes,4,0,2
12/9/19,257403.125,SFH,60077,2234,8,1,1,Yes,4,0,1.5
8/27/20,460225,Townhouse,60202,2200,6,2,1,No,2,0,2
2/15/19,182808.75,Condo,60025,1030,5,2,0,No,2,0,0
6/7/19,339239.4581,SFH,60053,1369,7,2,0,Yes,3,0,2.5
2/19/20,247025,Condo,60202,1400,5,1,0,No,2,0,0
10/22/20,253687.5,SFH,60062,1221,7,2,0,No,3,0,0
3/12/20,382325,SFH,60025,1611,8,1,1,No,3,0,2
9/9/20,408975,Condo,60026,2300,7,2,1,No,3,0,2
12/26/19,436009.375,Duplex,60062,2807,7,2,2,Yes,2,0,2
9/27/19,919296.875,SFH,60062,3131,9,4,1,Yes,4,1,2
1/12/18,371527.2656,SFH,60062,3019,8,2,0,No,3,0,2
1/16/18,106381.7173,Condo,60077,582,4,1,0,No,1,0,0
7/16/20,215250,Condo,60062,1450,5,2,0,No,2,0,1
7/10/20,471500,Townhouse,60062,2200,7,3,0,No,3,0,2
3/7/18,306913.8281,SFH,60077,1422,8,2,0,Yes,3,0,0
12/11/18,409218.4375,SFH,60062,2000,8,2,0,No,4,0,2
8/24/20,363362.5,SFH,60002,2496,8,3,1,Yes,4,0,3
9/27/19,298377.5,SFH,60025,1134,6,1,0,No,3,0,2
9/14/20,369000,Townhouse,60062,2060,9,2,1,No,3,0,2
11/22/19,882525,SFH,60201,5657,11,3,1,No,6,0,2
9/5/17,375296.3828,SFH,60077,1325,8,2,0,No,4,0,0
9/19/19,275263.75,SFH,60002,2511,9,2,1,No,4,0,3
9/15/20,517625,SFH,60025,3559,9,2,1,No,4,0,2
1/31/20,320312.5,Condo,60062,2466,7,2,1,No,3,0,2
11/6/20,353625,Townhouse,60062,2655,10,3,1,Yes,4,0,2
9/12/19,420250,Townhouse,60077,2470,7,2,1,No,3,0,2
9/22/17,123627.0437,Condo,60076,675,4,1,0,No,1,0,0
2/25/20,738000,SFH,60201,2992,13,3,1,No,5,0,2
5/1/19,1150434.375,Condo,60201,3141,7,3,1,No,2,0,2
2/8/19,227985.625,Condo,60091,1800,6,2,0,No,3,0,1
9/2/20,221912.5,Condo,60076,1720,5,2,0,No,2,0,2
11/16/20,589375,SFH,60091,1672,8,2,1,No,4,0,2
8/16/19,180707.5,Condo,60062,1350,5,2,0,No,2,0,1
12/2/19,149714.0625,SFH,60002,1560,8,1,1,Yes,2,2,2
9/30/20,412562.5,SFH,60062,2400,6,2,1,No,3,0,2
5/9/17,573982.7031,SFH,60062,1700,6,3,0,No,3,0,2
4/13/18,441525.1562,SFH,60062,1680,10,2,1,No,5,0,2
1/30/20,138375,SFH,60002,1102,6,2,0,No,3,0,2
11/6/20,351062.5,SFH,60053,1640,7,1,1,No,3,0,2
11/6/20,896875,SFH,60062,3924,12,3,1,No,4,0,2
6/23/17,189303.9107,SFH,60062,1073,6,1,0,No,3,0,1
6/12/18,1453802.344,SFH,60062,5450,13,5,2,Yes,5,0,3
4/5/19,336200,Townhouse,60053,1721,7,2,1,No,3,0,2
6/7/19,887778.125,SFH,60062,4435,9,3,2,Yes,5,0,2
9/8/20,403850,SFH,60053,1575,10,2,0,No,3,0,2
8/7/20,697000,SFH,60025,2719,8,2,1,No,3,0,2
4/27/20,857156.25,SFH,60201,2437,8,3,0,No,4,0,2
4/2/20,180400,Condo,60025,1080,5,2,0,No,2,0,1
11/27/17,250565.5262,Condo,60076,1400,5,2,0,No,2,0,1
10/13/20,164000,SFH,60002,1298,6,1,0,No,3,0,0
4/10/20,563750,SFH,60062,2059,10,2,1,No,4,0,2
12/10/19,840498.9494,SFH,60202,3660,12,3,0,No,7,0,2
4/29/19,183859.375,Condo,60062,1307,6,2,0,No,2,0,2
7/27/18,699978.9062,SFH,60062,2566,8,2,1,No,4,0,2
4/24/17,193167.2559,Townhouse,60077,1067,6,1,1,No,3,0,0
5/30/17,327832.4285,SFH,60076,1343,7,2,0,No,3,0,2
6/27/19,460173.75,SFH,60077,2410,10,2,0,No,4,0,2.5
10/23/20,133250,SFH,60002,982,5,1,0,No,3,0,0
11/5/20,589375,SFH,60091,2940,10,2,1,Yes,3,1,2
4/25/19,924550,SFH,60062,4461,12,4,1,Yes,5,1,3
6/28/17,193167.2559,Townhouse,60077,1070,5,1,1,No,2,0,0
